1665978419.534999,11373,1025,-4105,-11009,154,607,1942,-126,-327,-257
1665978419.5450397,11340,993,-4095,-11050,145,595,1933,-48,-351,-191
1665978419.5574305,11311,961,-4095,-11082,167,594,1933,3,-377,-135
1665978419.5826747,11290,935,-4106,-11102,141,586,1932,84,-395,-67
1665978419.6037624,11271,911,-4127,-11115,180,625,1918,119,-404,-32
1665978419.6234863,11252,892,-4155,-11126,192,638,1863,149,-397,-25
1665978419.6407366,11240,866,-4173,-11133,158,605,1867,100,-400,26
1665978419.663815,11228,836,-4188,-11142,144,596,1900,87,-416,26
1665978419.684117,11212,805,-4204,-11154,203,661,1877,44,-401,-6
1665978419.7007031,11194,771,-4209,-11173,223,718,1934,-35,-380,-27
1665978419.7240994,11176,738,-4203,-11195,195,745,1979,-84,-360,-29
1665978419.7463481,11160,695,-4187,-11219,201,712,1960,-154,-346,-30
1665978419.760962,11142,650,-4163,-11248,208,690,1981,-191,-335,-55
1665978419.7838163,11124,605,-4140,-11278,231,653,1971,-180,-319,-67
1665978419.803579,11106,572,-4127,-11302,255,710,1995,-110,-313,-58
1665978419.8206573,11091,551,-4122,-11320,229,720,1978,-46,-297,-35
1665978419.8513286,11075,526,-4113,-11339,263,693,1944,-64,-277,-44
1665978419.864489,11061,500,-4103,-11358,287,674,1934,-76,-266,-42
1665978419.8808987,11049,480,-4096,-11373,258,661,1917,-29,-260,-22
1665978419.9037607,11037,465,-4096,-11386,293,681,1899,-1,-246,-26
1665978419.9234645,11026,450,-4087,-11400,285,675,1892,-32,-212,-25
1665978419.9406006,11017,433,-4069,-11415,256,665,1909,-74,-204,-20
1665978419.9662678,11010,420,-4054,-11429,230,657,1946,-38,-214,-4
1665978419.9845328,11002,410,-4043,-11440,246,662,1933,-14,-209,-4
1665978420.0010264,10995,396,-4031,-11452,264,636,1905,-27,-203,-4
1665978420.023771,10989,380,-4020,-11462,252,638,1901,-31,-219,8
1665978420.0436165,10984,372,-4018,-11468,242,638,1921,38,-231,26
1665978420.0605965,10980,365,-4020,-11471,238,669,1917,48,-238,43
1665978420.0845413,10979,354,-4022,-11472,249,631,1912,51,-243,57
1665978420.1040807,10975,346,-4024,-11475,238,630,1909,59,-249,41
1665978420.12069,10970,335,-4024,-11480,250,622,1913,42,-246,28
1665978420.1442943,10964,319,-4021,-11487,269,647,1898,-5,-241,25
1665978420.1645966,10958,308,-4018,-11495,237,679,1944,1,-248,24
1665978420.180996,10951,300,-4014,-11502,208,655,1940,20,-249,22
1665978420.2115946,10943,290,-4011,-11512,216,654,1945,18,-260,9
1665978420.2235668,10932,277,-4014,-11521,256,667,1903,8,-272,1
1665978420.240559,10921,265,-4015,-11532,252,671,1914,8,-270,-5
1665978420.2631297,10912,251,-4015,-11541,253,675,1932,-4,-265,8
1665978420.2836487,10902,235,-4013,-11551,263,636,1933,1,-273,6
1665978420.3007607,10893,224,-4018,-11558,248,649,1941,41,-284,10
1665978420.323187,10883,217,-4029,-11563,245,680,1927,72,-288,18
1665978420.3441489,10874,209,-4039,-11569,264,662,1920,67,-279,12
1665978420.3606853,10864,200,-4044,-11576,280,658,1890,37,-258,5
1665978420.383146,10855,187,-4042,-11586,281,671,1894,-16,-242,1
1665978420.4126496,10848,177,-4032,-11596,265,665,1917,-29,-218,12
1665978420.4237502,10844,169,-4023,-11603,263,640,1936,-1,-209,20
1665978420.4432523,10839,166,-4022,-11609,261,660,1926,40,-212,24
1665978420.4654746,10833,166,-4019,-11614,255,675,1917,34,-204,23
1665978420.4810317,10830,158,-4008,-11621,256,644,1944,-6,-201,30
1665978420.5064592,10828,153,-3998,-11627,251,622,1938,10,-194,33
1665978420.529184,10825,152,-3992,-11632,239,633,1922,41,-199,29
1665978420.5465806,10820,155,-3994,-11636,261,696,1921,54,-200,27
1665978420.567544,10815,156,-3993,-11641,253,691,1926,36,-204,28
1665978420.5845387,10812,153,-3985,-11646,255,640,1921,20,-192,28
1665978420.608516,10809,155,-3980,-11651,249,638,1927,50,-183,28
1665978420.6263976,10807,155,-3975,-11654,252,645,1913,38,-186,38
1665978420.6440363,10804,158,-3978,-11656,259,658,1906,74,-197,39
1665978420.666564,10800,162,-3980,-11659,253,705,1915,55,-196,34
1665978420.6860206,10795,160,-3974,-11665,241,670,1917,14,-198,26
1665978420.703507,10790,157,-3971,-11671,271,679,1897,13,-194,21
1665978420.7247903,10786,155,-3968,-11676,278,698,1897,8,-187,31
1665978420.7427647,10785,155,-3961,-11680,250,663,1882,16,-172,40
1665978420.761823,10785,152,-3953,-11682,257,643,1899,9,-177,53
1665978420.7840848,10786,154,-3950,-11682,252,637,1902,57,-176,61
1665978420.802866,10785,160,-3948,-11684,238,677,1893,59,-170,47
1665978420.8209484,10785,167,-3943,-11685,247,682,1888,38,-149,48
1665978420.8438518,10788,171,-3937,-11685,234,682,1915,34,-160,73
1665978420.8629403,10792,175,-3933,-11682,230,652,1948,65,-176,86
1665978420.8817759,10797,188,-3931,-11678,224,664,1946,108,-150,80
1665978420.9031527,10807,206,-3933,-11668,241,688,1944,131,-121,116
1665978420.9228127,10827,211,-3927,-11651,253,596,1839,90,-111,183
1665978420.9408522,10858,221,-3931,-11621,268,556,1928,202,-118,262
1665978420.9633799,10889,270,-3946,-11585,283,656,1945,356,5,240
1665978420.9829624,10912,373,-3972,-11552,227,729,1986,581,140,146
1665978421.0053465,10957,472,-3988,-11500,152,770,1896,521,176,326
1665978421.0234702,10995,531,-3983,-11463,86,715,1872,295,56,302
1665978421.0428636,10998,589,-3981,-11458,342,842,1835,200,127,-1
1665978421.0653489,10996,719,-3934,-11469,399,1179,2296,216,543,-147
1665978421.0830877,10984,830,-3815,-11513,-255,1198,1944,-268,471,-179
1665978421.1028166,10950,842,-3704,-11580,-33,728,1880,-423,148,-329
